Bank,Fiscal Year,Total IB fees,Market Share %,Net Interest Income,Non interest income,Total Revenue,Total non-interest expense,Net Income,Total Assets,Total Liabilities,IB fees as a % of net revenue,IB fees as a % of non-interest income,
Jefferies Financial Group Inc.,2021,"$4,365,699.00 ",,"$88,782.00 ","$8,096,547.00 ","$8,185,329.00 ","$5,759,721.00 ","$1,677,376.00 ","$60,404,110.00 ","$49,674,070.00 ",$0.53 ,$0.54 ,
Jefferies Financial Group Inc.,2020,"$2,501,494.00 ",,"$997,555.00 ","$5,013,319.00 ","$6,010,874.00 ","$4,783,438.00 ","$768,410.00 ","$53,118,352.00 ","$43,530,151.00 ",$0.42 ,$0.50 ,
Jefferies Financial Group Inc.,2019,"$1,526,992.00 ",,"$1,603,940.00 ","$2,289,036.00 ","$3,892,976.00 ","$3,530,186.00 ","$962,563.00 ","$49,460,234.00 ","$39,706,945.00 ",$0.39 ,$0.67 ,
Jefferies Financial Group Inc.,2018,"$1,904,870.00 ",,"$1,294,325.00 ","$2,469,709.00 ","$3,764,034.00 ","$3,435,708.00 ","$277,092.00 ","$47,131,095.00 ","$36,907,059.00 ",$0.51 ,$0.77 ,
Jefferies Financial Group Inc.,2017,"$1,764,285.00 ",,"$993,198.00 ","$3,084,247.00 ","$4,077,445.00 ","$3,294,840.00 ","$(35,784.00)","$47,169,108.00 ","$36,478,536.00 ",$0.43 ,$0.57 ,
CREDIT SUISSE,2021,"$14,440,057.00 ",,"$6,373,807.00 ","$18,520,347.00 ","$24,894,154.00 ","$20,940,002.00 ","$(1,783,481.00)","$829,036,964.00 ","$780,523,198.00 ",$0.58 ,$0.78 ,
CREDIT SUISSE,2020,"$13,316,481.00 ",,"$6,682,395.00 ","$18,470,959.00 ","$25,153,354.00 ","$20,026,963.00 ","$2,995,169.00 ","$920,082,013.00 ","$871,839,119.00 ",$0.53 ,$0.72 ,
CREDIT SUISSE,2019,"$11,475,882.00 ",,"$7,216,908.00 ","$15,907,642.00 ","$23,124,550.00 ","$17,936,851.00 ","$3,522,575.00 ","$809,724,365.00 ","$764,764,990.00 ",$0.50 ,$0.72 ,
CREDIT SUISSE,2018,"$12,052,712.00 ",,"$7,104,916.00 ","$14,101,369.00 ","$21,206,285.00 ","$17,539,787.00 ","$2,038,520.00 ","$779,438,419.00 ","$724,896,000.00 ",$0.57 ,$0.85 ,
CREDIT SUISSE,2017,"$12,128,708.00 ",,"$6,729,960.00 ","$14,721,338.00 ","$21,451,298.00 ","$19,395,463.00 ","$(1,008,929.00)","$817,293,441.00 ","$773,991,584.00 ",$0.57 ,$0.82 ,
Citi Bank,2021,"$6,741.00 ",,"$42,494.00 ","$6,134.00 ","$29,390.00 ","$71,884.00 ","$20,373.00 ","$51,511.00 ","$2,291,413.00 ","$2,089,441.00 ","$201,972.00 ",
Citi Bank,2020,"$5,009.00 ",,"$44,751.00 ","$5,561.00 ","$30,750.00 ","$75,501.00 ","$27,883.00 ","$47,618.00 ","$2,260,090.00 ","$2,060,648.00 ","$199,442.00 ",
Citi Bank,2019,"$4,440.00 ",,"$48,128.00 ","$6,291.00 ","$26,939.00 ","$75,067.00 ","$31,840.00 ","$43,227.00 ","$1,951,158.00 ","$1,757,916.00 ","$193,242.00 ",
Citi Bank,2018,"$4,358.00 ",,"$46,562.00 ","$5,592.00 ","$27,474.00 ","$74,036.00 ","$31,822.00 ","$42,214.00 ","$1,917,383.00 ","$1,721,163.00 ","$196,220.00 ",
Citi Bank,2017,"$4,666.00 ",,"$45,061.00 ","$6,167.00 ","$28,632.00 ","$73,693.00 ","$31,123.00 ","$42,570.00 ","$1,842,465.00 ","$1,641,725.00 ","$200,740.00 ",
Barclay's,2021,"$3,659.00 ",,"$8,073.00 ","$13,867.00 ","$16,053.00 ","$24,126.00 ","$8,061.00 ","$16,065.00 ","$1,384,285.00 ","$1,314,074.00 ","$70,211.00 ",
Barclay's,2020,"$2,731.00 ",,"$8,122.00 ","$13,644.00 ","$15,677.00 ","$23,799.00 ","$8,188.00 ","$15,611.00 ","$1,349,514.00 ","$1,282,632.00 ","$66,882.00 ",
Barclay's,2019,"$2,535.00 ",,"$9,407.00 ","$12,225.00 ","$14,511.00 ","$23,918.00 ","$8,003.00 ","$15,915.00 ","$1,140,229.00 ","$1,074,569.00 ","$65,660.00 ",
Barclay's,2018,"$2,535.00 ",,"$9,062.00 ","$12,074.00 ","$14,067.00 ","$23,129.00 ","$7,019.00 ","$16,110.00 ","$1,133,283.00 ","$1,069,504.00 ","$63,779.00 ",
Barclay's,2017,"$2,531.00 ",,"$9,845.00 ","$11,231.00 ","$12,943.00 ","$22,788.00 ","$6,682.00 ","$16,106.00 ","$1,133,248.00 ","$1,067,232.00 ","$66,016.00 ",
GS,2021,"$14,168,000,000.00 ",,"$6,470,000,000.00 ","$52,869,000,000.00 ","$59,339,000,000.00 ","$31,938,000,000.00 ","$27,401,000,000.00 ","$1,463,988,000,000.00 ","$1,463,988,000,000.00 ",Na ,$0.24 ,
